,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.14,0.09,89.8,1656788393,1656788513,0.117,0.034,2091.0,0.0
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.66,0.04,171.56,1656788523,1656788643,0.125,0.023,2092.983,0.181
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.58,0.03,345.44,1656788653,1656788773,0.147,0.022,2094.967,0.362
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.86,0.04,736.81,1656788783,1656788903,0.168,0.019,2118.769,2.535
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,10.77,0.03,1485.33,1656788913,1656789033,0.201,0.022,2110.835,1.811
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,10.89,0.03,2938.62,1656789043,1656789163,0.262,0.028,2142.57,4.708
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,13.18,0.02,4857.09,1656789173,1656789293,0.341,0.034,2210.008,10.864
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,25.27,0.02,5064.37,1656789303,1656789423,0.415,0.035,2305.215,19.555
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,50.75,0.02,5044.37,1656789433,1656789553,0.465,0.034,2524.983,0.182
