model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.37,0.05,87.97,1656790904,1656791024
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.22,0.09,178.29,1656791034,1656791154
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.26,0.13,355.19,1656791164,1656791284
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.9,0.05,734.04,1656791294,1656791414
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,11.16,0.08,1433.19,1656791424,1656791544
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.55,0.01,1418.8,1656791554,1656791674
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,44.69,0.02,1432.06,1656791684,1656791804
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,86.82,0.02,1474.39,1656791815,1656791935
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,177.75,0.03,1440.24,1656791948,1656792068
