,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,1,11.37,0.05,87.97,1656790904,1656791024,0.099,0.029,1968.0,0.0
1,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,2,11.22,0.09,178.29,1656791034,1656791154,0.13,0.022,1969.983,0.181
2,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,4,11.26,0.13,355.19,1656791164,1656791284,0.176,0.026,1971.967,0.362
3,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,8,10.9,0.05,734.04,1656791294,1656791414,0.225,0.024,1995.769,2.535
4,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,16,11.16,0.08,1433.19,1656791424,1656791544,0.329,0.04,1987.835,1.811
5,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.55,0.01,1418.8,1656791554,1656791674,0.412,0.039,2019.57,4.708
6,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,64,44.69,0.02,1432.06,1656791684,1656791804,0.475,0.043,2087.008,10.864
7,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,128,86.82,0.02,1474.39,1656791815,1656791935,0.529,0.038,2182.215,19.555
8,paraphrase-multilingual-MiniLM-L12-v2,117653760,64,256,177.75,0.03,1440.24,1656791948,1656792068,0.565,0.038,2402.0,0.0
