model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
bert-base-multilingual-cased,177853440,64,1,11.1,0.07,90.11,1656797167,1656797287
bert-base-multilingual-cased,177853440,64,2,11.56,0.06,172.99,1656797297,1656797417
bert-base-multilingual-cased,177853440,64,4,11.58,0.04,345.35,1656797427,1656797547
bert-base-multilingual-cased,177853440,64,8,10.79,0.04,741.45,1656797557,1656797677
bert-base-multilingual-cased,177853440,64,16,10.95,0.04,1460.56,1656797687,1656797807
bert-base-multilingual-cased,177853440,64,32,10.76,0.09,2975.24,1656797817,1656797937
bert-base-multilingual-cased,177853440,64,64,13.24,0.01,4832.85,1656797947,1656798067
bert-base-multilingual-cased,177853440,64,128,26.75,0.01,4784.74,1656798077,1656798197
bert-base-multilingual-cased,177853440,64,256,52.95,0.07,4834.51,1656798207,1656798327
