EntityId,GRACT,FBUSD,TimeStamp
0,0.000,1520,1661756603
0,0.000,3,1661756604
0,0.000,3,1661756605
0,0.000,3,1661756606
0,0.000,3,1661756607
0,0.000,3,1661756608
0,0.000,3,1661756609
0,0.000,3,1661756610
0,0.000,3,1661756611
0,0.000,3,1661756612
0,0.000,3,1661756613
0,0.000,0,1661756614
0,0.000,3,1661756615
0,0.000,3,1661756616
0,0.000,3,1661756617
0,0.000,3,1661756618
0,0.000,3,1661756619
0,0.000,3,1661756620
0,0.000,3,1661756621
0,0.000,3,1661756622
0,0.000,3,1661756623
0,0.000,3,1661756624
0,0.000,3,1661756625
0,0.000,3,1661756626
0,0.000,3,1661756627
0,0.000,3,1661756628
0,0.000,3,1661756629
0,0.000,3,1661756630
0,0.000,3,1661756631
0,0.011,1032,1661756632
0,0.017,1744,1661756633
0,0.506,4740,1661756634
0,0.950,4740,1661756635
0,0.946,4740,1661756636
0,0.951,4740,1661756637
0,0.951,4740,1661756638
0,0.952,4740,1661756639
0,0.951,4740,1661756640
0,0.952,4740,1661756641
0,0.952,4740,1661756642
0,0.953,4740,1661756643
0,0.951,4740,1661756644
0,0.953,4740,1661756645
0,0.954,4740,1661756646
0,0.953,4740,1661756647
0,0.952,4740,1661756648
0,0.929,4836,1661756649
0,0.949,4836,1661756650
0,0.955,4836,1661756651
0,0.954,4836,1661756652
0,0.955,4836,1661756653
0,0.950,4836,1661756654
0,0.954,4836,1661756655
0,0.956,4836,1661756656
0,0.954,4836,1661756657
0,0.951,4836,1661756658
0,0.951,4836,1661756659
0,0.955,4836,1661756660
0,0.956,4836,1661756661
0,0.948,4836,1661756662
0,0.953,4836,1661756663
0,0.956,4836,1661756664
0,0.955,4836,1661756665
0,0.952,4836,1661756666
0,0.956,4836,1661756667
0,0.953,4836,1661756668
0,0.952,4836,1661756669
0,0.953,4836,1661756670
0,0.954,4836,1661756671
0,0.957,4836,1661756672
0,0.948,4836,1661756673
0,0.956,4836,1661756674
0,0.956,4836,1661756675
0,0.956,4836,1661756676
0,0.953,4836,1661756677
0,0.954,4836,1661756678
0,0.955,4836,1661756679
0,0.955,4836,1661756680
0,0.952,4836,1661756681
0,0.957,4836,1661756682
0,0.956,4836,1661756683
0,0.957,4836,1661756684
0,0.950,4836,1661756685
0,0.957,4836,1661756686
0,0.957,4836,1661756687
0,0.947,4836,1661756688
0,0.951,4836,1661756689
0,0.955,4836,1661756690
0,0.952,4836,1661756691
0,0.948,4836,1661756692
0,0.952,4836,1661756693
0,0.957,4836,1661756694
0,0.954,4836,1661756695
0,0.953,4836,1661756696
0,0.957,4836,1661756697
0,0.956,4836,1661756698
0,0.955,4836,1661756699
0,0.948,4836,1661756700
0,0.956,4836,1661756701
0,0.957,4836,1661756702
0,0.957,4836,1661756703
0,0.949,4836,1661756704
0,0.957,4836,1661756705
0,0.953,4836,1661756706
0,0.956,4836,1661756707
0,0.950,4836,1661756708
0,0.956,4836,1661756709
0,0.956,4836,1661756710
0,0.953,4836,1661756711
0,0.957,4836,1661756712
0,0.956,4836,1661756713
0,0.956,4836,1661756714
0,0.953,4836,1661756715
0,0.952,4836,1661756716
0,0.957,4836,1661756717
0,0.955,4836,1661756718
0,0.952,4836,1661756719
0,0.956,4836,1661756720
0,0.956,4836,1661756721
0,0.958,4836,1661756722
0,0.952,4836,1661756723
0,0.958,4836,1661756724
0,0.957,4836,1661756725
0,0.951,4836,1661756726
0,0.957,4836,1661756727
0,0.956,4836,1661756728
0,0.957,4836,1661756729
0,0.953,4836,1661756730
0,0.954,4836,1661756731
0,0.956,4836,1661756732
0,0.955,4836,1661756733
0,0.951,4836,1661756734
0,0.957,4836,1661756735
0,0.955,4836,1661756736
0,0.956,4836,1661756737
0,0.950,4836,1661756738
0,0.957,4836,1661756739
0,0.953,4836,1661756740
0,0.954,4836,1661756741
0,0.953,4836,1661756742
0,0.953,4836,1661756743
0,0.957,4836,1661756744
0,0.953,4836,1661756745
0,0.958,4836,1661756746
0,0.958,4836,1661756747
0,0.958,4836,1661756748
0,0.953,4836,1661756749
0,0.958,4836,1661756750
0,0.958,4836,1661756751
0,0.953,4836,1661756752
0,0.951,4836,1661756753
0,0.957,4836,1661756754
0,0.901,4052,1661756755
0,0.000,0,1661756756
0,0.000,3,1661756757
0,0.000,3,1661756758
0,0.000,3,1661756759
0,0.000,3,1661756760
0,0.000,3,1661756761
0,0.000,3,1661756762
0,0.000,3,1661756763
0,0.000,3,1661756764
0,0.000,3,1661756765
0,0.000,3,1661756766
0,0.000,3,1661756767
0,0.000,3,1661756768
0,0.000,3,1661756769
0,0.000,3,1661756770
0,0.000,3,1661756771
0,0.000,3,1661756772
0,0.003,846,1661756773
0,0.021,1610,1661756774
0,0.328,4726,1661756775
0,0.969,4726,1661756776
0,0.968,4726,1661756777
0,0.970,4726,1661756778
0,0.969,4726,1661756779
0,0.968,4726,1661756780
0,0.964,4726,1661756781
0,0.966,4726,1661756782
0,0.969,4726,1661756783
0,0.972,4726,1661756784
0,0.968,4726,1661756785
0,0.968,4726,1661756786
0,0.967,4726,1661756787
0,0.968,4726,1661756788
0,0.968,4726,1661756789
0,0.970,4726,1661756790
0,0.968,4726,1661756791
0,0.969,4726,1661756792
0,0.967,4726,1661756793
0,0.968,4726,1661756794
0,0.968,4726,1661756795
0,0.969,4726,1661756796
0,0.968,4726,1661756797
0,0.968,4726,1661756798
0,0.969,4726,1661756799
0,0.969,4726,1661756800
0,0.968,4726,1661756801
0,0.969,4726,1661756802
0,0.969,4726,1661756803
0,0.970,4726,1661756804
0,0.970,4726,1661756805
0,0.969,4726,1661756806
0,0.969,4726,1661756807
0,0.970,4726,1661756808
0,0.970,4726,1661756809
0,0.969,4726,1661756810
0,0.971,4726,1661756811
0,0.970,4726,1661756812
0,0.969,4726,1661756813
0,0.971,4726,1661756814
0,0.969,4726,1661756815
0,0.968,4726,1661756816
0,0.968,4726,1661756817
0,0.969,4726,1661756818
0,0.966,4726,1661756819
0,0.972,4726,1661756820
0,0.968,4726,1661756821
0,0.968,4726,1661756822
0,0.968,4726,1661756823
0,0.969,4726,1661756824
0,0.968,4726,1661756825
0,0.971,4726,1661756826
0,0.968,4726,1661756827
0,0.968,4726,1661756828
0,0.966,4726,1661756829
0,0.967,4726,1661756830
0,0.970,4726,1661756831
0,0.970,4726,1661756832
0,0.965,4726,1661756833
0,0.970,4726,1661756834
0,0.970,4726,1661756835
0,0.969,4726,1661756836
0,0.970,4726,1661756837
0,0.973,4726,1661756838
0,0.969,4726,1661756839
0,0.970,4726,1661756840
0,0.970,4726,1661756841
0,0.970,4726,1661756842
0,0.968,4726,1661756843
0,0.971,4726,1661756844
0,0.971,4726,1661756845
0,0.969,4726,1661756846
0,0.971,4726,1661756847
0,0.969,4726,1661756848
0,0.970,4726,1661756849
0,0.971,4726,1661756850
0,0.970,4726,1661756851
0,0.970,4726,1661756852
0,0.969,4726,1661756853
0,0.970,4726,1661756854
0,0.969,4726,1661756855
0,0.970,4726,1661756856
0,0.973,4726,1661756857
0,0.971,4726,1661756858
0,0.971,4726,1661756859
0,0.969,4726,1661756860
0,0.970,4726,1661756861
0,0.969,4726,1661756862
0,0.969,4726,1661756863
0,0.972,4726,1661756864
0,0.969,4726,1661756865
0,0.970,4726,1661756866
0,0.969,4726,1661756867
0,0.969,4726,1661756868
0,0.970,4726,1661756869
0,0.971,4726,1661756870
0,0.970,4726,1661756871
0,0.969,4726,1661756872
0,0.971,4726,1661756873
0,0.968,4726,1661756874
0,0.969,4726,1661756875
0,0.971,4726,1661756876
0,0.971,4726,1661756877
0,0.970,4726,1661756878
0,0.969,4726,1661756879
0,0.968,4726,1661756880
0,0.969,4726,1661756881
0,0.970,4726,1661756882
0,0.973,4726,1661756883
0,0.969,4726,1661756884
0,0.969,4726,1661756885
0,0.969,4726,1661756886
0,0.970,4726,1661756887
0,0.970,4726,1661756888
0,0.971,4726,1661756889
0,0.970,4726,1661756890
0,0.969,4726,1661756891
0,0.970,4726,1661756892
0,0.969,4726,1661756893
0,0.970,4726,1661756894
0,0.970,4726,1661756895
0,0.877,4726,1661756896
0,0.000,0,1661756897
0,0.000,3,1661756898
0,0.000,3,1661756899
0,0.000,3,1661756900
0,0.000,3,1661756901
0,0.000,3,1661756902
0,0.000,3,1661756903
0,0.000,3,1661756904
0,0.000,3,1661756905
0,0.000,3,1661756906
0,0.000,3,1661756907
0,0.000,3,1661756908
0,0.000,3,1661756909
0,0.000,3,1661756910
0,0.000,3,1661756911
0,0.000,3,1661756912
0,0.010,780,1661756913
0,0.014,1610,1661756914
0,0.371,5346,1661756915
0,0.972,5346,1661756916
0,0.967,5346,1661756917
0,0.970,5346,1661756918
0,0.971,5346,1661756919
0,0.970,5346,1661756920
0,0.968,5346,1661756921
0,0.967,5346,1661756922
0,0.967,5346,1661756923
0,0.971,5346,1661756924
0,0.966,5346,1661756925
0,0.971,5346,1661756926
0,0.965,5346,1661756927
0,0.973,5346,1661756928
0,0.967,5346,1661756929
0,0.962,5346,1661756930
0,0.968,5346,1661756931
0,0.973,5346,1661756932
0,0.969,5346,1661756933
0,0.965,5346,1661756934
0,0.969,5346,1661756935
0,0.974,5346,1661756936
0,0.971,5346,1661756937
0,0.963,5346,1661756938
0,0.967,5346,1661756939
0,0.967,5346,1661756940
0,0.978,5346,1661756941
0,0.967,5346,1661756942
0,0.967,5346,1661756943
0,0.971,5346,1661756944
0,0.973,5346,1661756945
0,0.972,5346,1661756946
0,0.965,5346,1661756947
0,0.967,5346,1661756948
0,0.973,5346,1661756949
0,0.971,5346,1661756950
