,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.56,0.09,179.95,1656782062,1656782182,0.146,0.045,2401.967,0.362
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.72,0.03,349.59,1656782192,1656782312,0.155,0.028,2405.934,0.724
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.74,0.03,697.4,1656782322,1656782442,0.178,0.027,2435.686,3.44
3,distiluse-base-multilingual-cased-v2,134734080,64,8,5.43,0.03,1472.63,1656782452,1656782572,0.196,0.021,2437.669,3.621
4,distiluse-base-multilingual-cased-v2,134734080,64,16,5.46,0.02,2930.59,1656782582,1656782702,0.233,0.025,2497.174,9.053
5,distiluse-base-multilingual-cased-v2,134734080,64,32,5.44,0.03,5887.53,1656782712,1656782832,0.291,0.028,2576.512,16.296
6,distiluse-base-multilingual-cased-v2,134734080,64,64,6.74,0.01,9495.08,1656782842,1656782962,0.363,0.034,2731.223,30.419
7,distiluse-base-multilingual-cased-v2,134734080,64,128,13.36,0.0,9581.6,1656782972,1656783092,0.434,0.034,3064.446,60.838
8,distiluse-base-multilingual-cased-v2,134734080,64,256,26.5,0.03,9662.2,1656783102,1656783222,0.481,0.033,3738.8,34.908
