,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.56,0.07,179.86,1656785880,1656786000,0.19,0.057,2043.537,4.719
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.48,0.06,364.78,1656786010,1656786130,0.259,0.047,2047.934,0.724
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.78,0.03,692.35,1656786140,1656786260,0.36,0.053,2077.686,3.44
3,distiluse-base-multilingual-cased-v2,134734080,64,8,7.35,0.02,1087.96,1656786270,1656786390,0.449,0.046,2079.669,3.621
4,distiluse-base-multilingual-cased-v2,134734080,64,16,13.41,0.01,1193.02,1656786400,1656786520,0.527,0.054,2127.074,8.24
5,distiluse-base-multilingual-cased-v2,134734080,64,32,26.51,0.01,1207.19,1656786530,1656786650,0.586,0.043,2217.917,17.501
6,distiluse-base-multilingual-cased-v2,134734080,64,64,50.85,0.02,1258.68,1656786660,1656786780,0.622,0.044,2372.43,31.566
7,distiluse-base-multilingual-cased-v2,134734080,64,128,100.57,0.02,1272.71,1656786791,1656786911,0.663,0.033,2704.86,63.133
8,distiluse-base-multilingual-cased-v2,134734080,64,256,199.59,0.04,1282.61,1656786923,1656787043,0.682,0.031,3377.6,42.453
