,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v2,134734080,64,1,5.69,0.07,175.82,1656784573,1656784693,0.212,0.065,2102.05,21.004
1,distiluse-base-multilingual-cased-v2,134734080,64,2,5.62,0.03,355.98,1656784703,1656784823,0.221,0.041,2107.934,0.724
2,distiluse-base-multilingual-cased-v2,134734080,64,4,5.72,0.03,698.78,1656784833,1656784953,0.264,0.041,2137.686,3.44
3,distiluse-base-multilingual-cased-v2,134734080,64,8,5.68,0.03,1408.59,1656784963,1656785083,0.329,0.039,2139.669,3.621
4,distiluse-base-multilingual-cased-v2,134734080,64,16,6.41,0.04,2494.29,1656785093,1656785213,0.423,0.048,2187.273,7.967
5,distiluse-base-multilingual-cased-v2,134734080,64,32,12.24,0.01,2614.89,1656785223,1656785343,0.507,0.049,2278.314,16.422
6,distiluse-base-multilingual-cased-v2,134734080,64,64,24.91,0.01,2569.48,1656785353,1656785473,0.556,0.05,2432.43,31.566
7,distiluse-base-multilingual-cased-v2,134734080,64,128,48.04,0.01,2664.27,1656785483,1656785603,0.607,0.043,2764.86,63.133
8,distiluse-base-multilingual-cased-v2,134734080,64,256,94.92,0.03,2696.9,1656785614,1656785734,0.633,0.037,3440.8,34.908
