,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v2,134734080,32,32,5.71,0.04,5606.98,1656764426,1656764546,0.185,0.061,2487.983,16.026
1,distiluse-base-multilingual-cased-v2,134734080,64,32,5.61,0.09,5703.87,1656764556,1656764676,0.294,0.054,2575.917,17.501
2,distiluse-base-multilingual-cased-v2,134734080,128,32,7.2,0.02,4447.17,1656764686,1656764806,0.447,0.076,2707.025,28.543
3,distiluse-base-multilingual-cased-v2,134734080,256,32,15.61,0.01,2050.44,1656764816,1656764936,0.524,0.068,3015.455,58.381
4,distiluse-base-multilingual-cased-v2,134734080,512,32,36.17,0.01,884.68,1656764946,1656765066,0.598,0.07,4060.942,155.735
