,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.6,0.03,178.44,1656779646,1656779766,0.116,0.038,2101.306,7.424
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.54,0.05,360.85,1656779776,1656779896,0.159,0.031,2103.967,0.362
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.59,0.02,715.83,1656779906,1656780026,0.213,0.036,2127.769,2.535
3,distiluse-base-multilingual-cased-v1,134734080,64,8,5.54,0.02,1444.51,1656780036,1656780156,0.274,0.033,2119.835,1.811
4,distiluse-base-multilingual-cased-v1,134734080,64,16,6.4,0.01,2499.27,1656780166,1656780286,0.37,0.043,2163.471,5.794
5,distiluse-base-multilingual-cased-v1,134734080,64,32,12.24,0.01,2614.44,1656780296,1656780416,0.443,0.037,2207.107,9.778
6,distiluse-base-multilingual-cased-v1,134734080,64,64,24.9,0.01,2570.73,1656780426,1656780546,0.503,0.04,2290.413,17.382
7,distiluse-base-multilingual-cased-v1,134734080,64,128,48.03,0.02,2664.73,1656780556,1656780676,0.55,0.03,2480.826,34.765
8,distiluse-base-multilingual-cased-v1,134734080,64,256,94.92,0.04,2697.09,1656780687,1656780807,0.584,0.029,2868.0,0.0
