EntityId,GRACT,FBUSD,TimeStamp
0,0.000,0,1661746489
0,0.000,0,1661746490
0,0.000,0,1661746491
0,0.000,0,1661746492
0,0.000,0,1661746493
0,0.000,0,1661746494
0,0.000,0,1661746495
0,0.000,0,1661746496
0,0.000,0,1661746497
0,0.000,0,1661746498
0,0.000,0,1661746499
0,0.000,N/A,1661746500
0,0.000,3,1661746501
0,0.000,3,1661746502
0,0.000,3,1661746503
0,0.000,3,1661746504
0,0.000,3,1661746505
0,0.000,3,1661746506
0,0.000,3,1661746507
0,0.000,3,1661746508
0,0.000,3,1661746509
0,0.000,3,1661746510
0,0.000,3,1661746511
0,0.000,3,1661746512
0,0.000,3,1661746513
0,0.000,3,1661746514
0,0.000,3,1661746515
0,0.000,3,1661746516
0,0.000,3,1661746517
0,0.005,888,1661746518
0,0.021,1612,1661746519
0,0.162,1880,1661746520
0,0.410,1880,1661746521
0,0.423,1880,1661746522
0,0.422,1880,1661746523
0,0.411,1880,1661746524
0,0.415,1880,1661746525
0,0.416,1880,1661746526
0,0.421,1880,1661746527
0,0.415,1880,1661746528
0,0.415,1880,1661746529
0,0.419,1880,1661746530
0,0.419,1880,1661746531
0,0.416,1880,1661746532
0,0.415,1880,1661746533
0,0.413,1880,1661746534
0,0.417,1880,1661746535
0,0.412,1880,1661746536
0,0.413,1880,1661746537
0,0.419,1880,1661746538
0,0.412,1880,1661746539
0,0.415,1880,1661746540
0,0.416,1880,1661746541
0,0.420,1880,1661746542
0,0.419,1880,1661746543
0,0.418,1880,1661746544
0,0.422,1880,1661746545
0,0.415,1880,1661746546
0,0.412,1880,1661746547
0,0.422,1880,1661746548
0,0.413,1880,1661746549
0,0.424,1880,1661746550
0,0.415,1880,1661746551
0,0.430,1880,1661746552
0,0.423,1880,1661746553
0,0.416,1880,1661746554
0,0.421,1880,1661746555
0,0.418,1880,1661746556
0,0.416,1880,1661746557
0,0.423,1880,1661746558
0,0.412,1880,1661746559
0,0.413,1880,1661746560
0,0.412,1880,1661746561
0,0.424,1880,1661746562
0,0.419,1880,1661746563
0,0.415,1880,1661746564
0,0.418,1880,1661746565
0,0.424,1880,1661746566
0,0.415,1880,1661746567
0,0.412,1880,1661746568
0,0.420,1880,1661746569
0,0.424,1880,1661746570
0,0.422,1880,1661746571
0,0.422,1880,1661746572
0,0.417,1880,1661746573
0,0.426,1880,1661746574
0,0.420,1880,1661746575
0,0.418,1880,1661746576
0,0.419,1880,1661746577
0,0.417,1880,1661746578
0,0.411,1880,1661746579
0,0.410,1880,1661746580
0,0.420,1880,1661746581
0,0.416,1880,1661746582
0,0.418,1880,1661746583
0,0.419,1880,1661746584
0,0.413,1880,1661746585
0,0.412,1880,1661746586
0,0.414,1880,1661746587
0,0.420,1880,1661746588
0,0.414,1880,1661746589
0,0.423,1880,1661746590
0,0.418,1880,1661746591
0,0.410,1880,1661746592
0,0.412,1880,1661746593
0,0.423,1880,1661746594
0,0.414,1880,1661746595
0,0.414,1880,1661746596
0,0.412,1880,1661746597
0,0.427,1880,1661746598
0,0.418,1880,1661746599
0,0.429,1880,1661746600
0,0.426,1880,1661746601
0,0.422,1880,1661746602
0,0.423,1880,1661746603
0,0.429,1880,1661746604
0,0.426,1880,1661746605
0,0.429,1880,1661746606
0,0.426,1880,1661746607
0,0.412,1880,1661746608
0,0.423,1880,1661746609
0,0.431,1880,1661746610
0,0.433,1880,1661746611
0,0.426,1880,1661746612
0,0.391,1880,1661746613
0,0.417,1880,1661746614
0,0.423,1880,1661746615
0,0.418,1880,1661746616
0,0.418,1880,1661746617
0,0.421,1880,1661746618
0,0.415,1880,1661746619
0,0.423,1880,1661746620
0,0.412,1880,1661746621
0,0.424,1880,1661746622
0,0.423,1880,1661746623
0,0.418,1880,1661746624
0,0.426,1880,1661746625
0,0.427,1880,1661746626
0,0.422,1880,1661746627
0,0.423,1880,1661746628
0,0.418,1880,1661746629
0,0.430,1880,1661746630
0,0.432,1880,1661746631
0,0.429,1880,1661746632
0,0.436,1880,1661746633
0,0.430,1880,1661746634
0,0.422,1880,1661746635
0,0.419,1880,1661746636
0,0.425,1880,1661746637
0,0.417,1880,1661746638
0,0.428,1880,1661746639
0,0.406,1880,1661746640
0,0.000,0,1661746641
0,0.000,3,1661746642
0,0.000,3,1661746643
0,0.000,3,1661746644
0,0.000,3,1661746645
0,0.000,3,1661746646
0,0.000,3,1661746647
0,0.000,3,1661746648
0,0.000,3,1661746649
0,0.000,3,1661746650
0,0.000,3,1661746651
0,0.000,3,1661746652
0,0.000,3,1661746653
0,0.000,3,1661746654
0,0.000,3,1661746655
0,0.000,3,1661746656
0,0.000,3,1661746657
0,0.000,15,1661746658
0,0.024,1228,1661746659
0,0.117,1880,1661746660
0,0.686,1882,1661746661
0,0.694,1882,1661746662
0,0.705,1882,1661746663
0,0.696,1882,1661746664
0,0.696,1882,1661746665
0,0.701,1882,1661746666
0,0.693,1882,1661746667
0,0.696,1882,1661746668
0,0.695,1882,1661746669
0,0.675,1882,1661746670
0,0.673,1882,1661746671
0,0.688,1882,1661746672
0,0.686,1882,1661746673
0,0.675,1882,1661746674
0,0.704,1882,1661746675
0,0.675,1882,1661746676
0,0.679,1882,1661746677
0,0.679,1882,1661746678
0,0.704,1882,1661746679
0,0.694,1882,1661746680
0,0.693,1882,1661746681
0,0.696,1882,1661746682
0,0.695,1882,1661746683
0,0.695,1882,1661746684
0,0.694,1882,1661746685
0,0.704,1882,1661746686
0,0.692,1882,1661746687
0,0.692,1882,1661746688
0,0.692,1882,1661746689
0,0.712,1882,1661746690
0,0.680,1882,1661746691
0,0.693,1882,1661746692
0,0.701,1882,1661746693
0,0.698,1882,1661746694
0,0.699,1882,1661746695
0,0.698,1882,1661746696
0,0.700,1882,1661746697
0,0.695,1882,1661746698
0,0.703,1882,1661746699
0,0.693,1882,1661746700
0,0.695,1882,1661746701
0,0.693,1882,1661746702
0,0.702,1882,1661746703
0,0.721,1882,1661746704
0,0.706,1882,1661746705
0,0.689,1882,1661746706
