model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
bert-base-multilingual-cased,177853440,64,1,11.17,0.08,89.53,1656800896,1656801016
bert-base-multilingual-cased,177853440,64,2,11.23,0.05,178.07,1656801026,1656801146
bert-base-multilingual-cased,177853440,64,4,11.77,0.06,339.75,1656801156,1656801276
bert-base-multilingual-cased,177853440,64,8,14.36,0.01,556.92,1656801286,1656801406
bert-base-multilingual-cased,177853440,64,16,26.8,0.02,596.93,1656801416,1656801536
bert-base-multilingual-cased,177853440,64,32,52.95,0.02,604.29,1656801546,1656801666
bert-base-multilingual-cased,177853440,64,64,101.67,0.02,629.51,1656801677,1656801797
bert-base-multilingual-cased,177853440,64,128,200.95,0.03,636.98,1656801810,1656801930
bert-base-multilingual-cased,177853440,64,256,398.89,0.05,641.79,1656801946,1656802066
