model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
distiluse-base-multilingual-cased-v1,134734080,64,1,5.53,0.07,180.92,1656777108,1656777228
distiluse-base-multilingual-cased-v1,134734080,64,2,5.66,0.03,353.1,1656777238,1656777358
distiluse-base-multilingual-cased-v1,134734080,64,4,5.67,0.03,705.69,1656777368,1656777488
distiluse-base-multilingual-cased-v1,134734080,64,8,5.35,0.03,1494.74,1656777498,1656777618
distiluse-base-multilingual-cased-v1,134734080,64,16,5.42,0.03,2953.69,1656777628,1656777748
distiluse-base-multilingual-cased-v1,134734080,64,32,5.43,0.03,5887.91,1656777758,1656777878
distiluse-base-multilingual-cased-v1,134734080,64,64,6.74,0.02,9496.39,1656777888,1656778008
distiluse-base-multilingual-cased-v1,134734080,64,128,13.35,0.0,9585.6,1656778018,1656778138
distiluse-base-multilingual-cased-v1,134734080,64,256,26.5,0.03,9661.6,1656778148,1656778268
