,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.57,0.08,179.51,1656780853,1656780973,0.33,0.105,2038.116,31.998
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.56,0.03,359.83,1656780983,1656781103,0.357,0.066,2043.967,0.362
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.87,0.05,681.19,1656781113,1656781233,0.44,0.067,2067.769,2.535
3,distiluse-base-multilingual-cased-v1,134734080,64,8,7.35,0.01,1088.56,1656781243,1656781363,0.535,0.062,2059.835,1.811
4,distiluse-base-multilingual-cased-v1,134734080,64,16,13.42,0.01,1192.02,1656781373,1656781493,0.602,0.066,2103.471,5.794
5,distiluse-base-multilingual-cased-v1,134734080,64,32,26.53,0.01,1206.13,1656781503,1656781623,0.663,0.059,2147.107,9.778
6,distiluse-base-multilingual-cased-v1,134734080,64,64,50.82,0.02,1259.41,1656781633,1656781753,0.685,0.056,2230.413,17.382
7,distiluse-base-multilingual-cased-v1,134734080,64,128,100.56,0.02,1272.89,1656781764,1656781884,0.725,0.044,2420.826,34.765
8,distiluse-base-multilingual-cased-v1,134734080,64,256,199.68,0.04,1282.02,1656781896,1656782016,0.737,0.035,2808.0,0.0
