,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v1,134734080,64,1,5.53,0.07,180.92,1656777108,1656777228,0.082,0.025,2399.983,0.181
1,distiluse-base-multilingual-cased-v1,134734080,64,2,5.66,0.03,353.1,1656777238,1656777358,0.112,0.02,2401.967,0.362
2,distiluse-base-multilingual-cased-v1,134734080,64,4,5.67,0.03,705.69,1656777368,1656777488,0.144,0.022,2425.769,2.535
3,distiluse-base-multilingual-cased-v1,134734080,64,8,5.35,0.03,1494.74,1656777498,1656777618,0.164,0.017,2417.835,1.811
4,distiluse-base-multilingual-cased-v1,134734080,64,16,5.42,0.03,2953.69,1656777628,1656777748,0.205,0.022,2461.471,5.794
5,distiluse-base-multilingual-cased-v1,134734080,64,32,5.43,0.03,5887.91,1656777758,1656777878,0.256,0.022,2505.107,9.778
6,distiluse-base-multilingual-cased-v1,134734080,64,64,6.74,0.02,9496.39,1656777888,1656778008,0.33,0.029,2588.413,17.382
7,distiluse-base-multilingual-cased-v1,134734080,64,128,13.35,0.0,9585.6,1656778018,1656778138,0.396,0.03,2778.826,34.765
8,distiluse-base-multilingual-cased-v1,134734080,64,256,26.5,0.03,9661.6,1656778148,1656778268,0.446,0.031,3166.0,0.0
