,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,paraphrase-multilingual-mpnet-base-v2,278043648,32,32,12.59,0.08,2541.19,1656771961,1656772081,0.434,0.135,2725.636,3.983
1,paraphrase-multilingual-mpnet-base-v2,278043648,64,32,24.61,0.02,1300.23,1656772091,1656772211,0.559,0.109,2793.074,10.14
2,paraphrase-multilingual-mpnet-base-v2,278043648,128,32,54.06,0.02,591.93,1656772221,1656772341,0.676,0.111,2884.314,18.469
3,paraphrase-multilingual-mpnet-base-v2,278043648,256,32,118.2,0.03,270.74,1656772353,1656772473,0.704,0.082,3062.826,34.765
4,paraphrase-multilingual-mpnet-base-v2,278043648,512,32,290.93,0.05,109.99,1656772488,1656772608,0.761,0.083,3834.0,0.0
