,model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,distiluse-base-multilingual-cased-v2,134734080,32,32,6.41,0.03,4991.85,1656765914,1656766034,0.437,0.129,2191.24,8.329
1,distiluse-base-multilingual-cased-v2,134734080,64,32,12.24,0.01,2615.35,1656766044,1656766164,0.563,0.098,2278.512,16.296
2,distiluse-base-multilingual-cased-v2,134734080,128,32,26.48,0.01,1208.39,1656766174,1656766294,0.68,0.101,2409.421,28.246
3,distiluse-base-multilingual-cased-v2,134734080,256,32,56.31,0.02,568.28,1656766304,1656766424,0.713,0.07,2718.248,56.813
4,distiluse-base-multilingual-cased-v2,134734080,512,32,132.95,0.04,240.69,1656766435,1656766555,0.752,0.078,3776.8,34.908
