model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
resnet50_moco,8,31.29,1.68,255.65,1657285572,1657285693
resnet50_moco,16,34.14,0.46,468.72,1657285768,1657285889
resnet50_moco,32,48.38,0.2,661.5,1657285973,1657286094
resnet50_moco,64,88.63,0.02,722.12,1657286194,1657286315
resnet50_moco,128,168.7,0.03,758.75,1657286485,1657286606
