EntityId,GRACT,FBUSD,TimeStamp
0,0.000,9,1657283672
0,0.000,9,1657283673
0,0.000,9,1657283674
0,0.000,9,1657283675
0,0.000,9,1657283676
0,0.000,9,1657283677
0,0.000,9,1657283678
0,0.000,9,1657283679
0,0.000,9,1657283680
0,0.000,9,1657283681
0,0.000,9,1657283682
0,0.000,9,1657283683
0,0.000,9,1657283684
0,0.000,9,1657283685
0,0.000,9,1657283686
0,0.000,9,1657283687
0,0.000,9,1657283688
0,0.000,9,1657283689
0,0.000,9,1657283690
0,0.000,9,1657283691
0,0.002,187,1657283692
0,0.008,535,1657283693
0,0.011,867,1657283694
0,0.007,1201,1657283695
0,0.003,1457,1657283696
0,0.007,1775,1657283697
0,0.741,2687,1657283698
0,0.789,2687,1657283699
0,0.794,2687,1657283700
0,0.797,2687,1657283701
0,0.790,2687,1657283702
0,0.793,2687,1657283703
0,0.794,2687,1657283704
0,0.791,2687,1657283705
0,0.794,2687,1657283706
0,0.794,2687,1657283707
0,0.792,2687,1657283708
0,0.793,2687,1657283709
0,0.795,2687,1657283710
0,0.792,2687,1657283711
0,0.791,2687,1657283712
0,0.795,2687,1657283713
0,0.791,2687,1657283714
0,0.795,2687,1657283715
0,0.796,2687,1657283716
0,0.789,2687,1657283717
0,0.796,2687,1657283718
0,0.787,2687,1657283719
0,0.793,2687,1657283720
0,0.787,2687,1657283721
0,0.790,2687,1657283722
0,0.795,2687,1657283723
0,0.789,2687,1657283724
0,0.793,2687,1657283725
0,0.791,2687,1657283726
0,0.788,2687,1657283727
0,0.788,2687,1657283728
0,0.791,2687,1657283729
0,0.796,2687,1657283730
0,0.790,2687,1657283731
0,0.791,2687,1657283732
0,0.792,2687,1657283733
0,0.791,2687,1657283734
0,0.796,2687,1657283735
0,0.785,2687,1657283736
0,0.794,2687,1657283737
0,0.791,2687,1657283738
0,0.791,2687,1657283739
0,0.797,2687,1657283740
0,0.783,2687,1657283741
0,0.740,2687,1657283742
0,0.679,2687,1657283743
0,0.729,2687,1657283744
0,0.793,2687,1657283745
0,0.794,2687,1657283746
0,0.797,2687,1657283747
0,0.793,2687,1657283748
0,0.796,2687,1657283749
0,0.798,2687,1657283750
0,0.777,2687,1657283751
0,0.763,2687,1657283752
0,0.787,2687,1657283753
0,0.792,2687,1657283754
0,0.787,2687,1657283755
0,0.792,2687,1657283756
0,0.784,2687,1657283757
0,0.791,2687,1657283758
0,0.785,2687,1657283759
0,0.793,2687,1657283760
0,0.786,2687,1657283761
0,0.796,2687,1657283762
0,0.397,2687,1657283763
0,0.396,2687,1657283764
0,0.398,2687,1657283765
0,0.398,2687,1657283766
0,0.397,2687,1657283767
0,0.398,2687,1657283768
0,0.399,2687,1657283769
0,0.397,2687,1657283770
0,0.394,2687,1657283771
0,0.395,2687,1657283772
0,0.394,2687,1657283773
0,0.397,2687,1657283774
0,0.393,2687,1657283775
0,0.396,2687,1657283776
0,0.393,2687,1657283777
0,0.396,2687,1657283778
0,0.394,2687,1657283779
0,0.397,2687,1657283780
0,0.396,2687,1657283781
0,0.397,2687,1657283782
0,0.402,2687,1657283783
0,0.403,2687,1657283784
0,0.399,2687,1657283785
0,0.398,2687,1657283786
0,0.399,2687,1657283787
0,0.763,2687,1657283788
0,0.791,2687,1657283789
0,0.792,2687,1657283790
0,0.797,2687,1657283791
0,0.789,2687,1657283792
0,0.792,2687,1657283793
0,0.791,2687,1657283794
0,0.791,2687,1657283795
0,0.795,2687,1657283796
0,0.792,2687,1657283797
0,0.793,2687,1657283798
0,0.793,2687,1657283799
0,0.791,2687,1657283800
0,0.790,2687,1657283801
0,0.789,2687,1657283802
0,0.796,2687,1657283803
0,0.791,2687,1657283804
0,0.793,2687,1657283805
0,0.794,2687,1657283806
0,0.790,2687,1657283807
0,0.796,2687,1657283808
0,0.788,2687,1657283809
0,0.794,2687,1657283810
0,0.786,2687,1657283811
0,0.790,2687,1657283812
0,0.753,2687,1657283813
0,0.735,2687,1657283814
0,0.737,2687,1657283815
0,0.736,2687,1657283816
0,0.736,2687,1657283817
0,0.759,2687,1657283818
0,0.790,2687,1657283819
0,0.795,2687,1657283820
0,0.792,2687,1657283821
0,0.509,1815,1657283822
0,0.396,1815,1657283823
0,0.395,1815,1657283824
0,0.398,1815,1657283825
0,0.393,1815,1657283826
0,0.397,1815,1657283827
0,0.395,1815,1657283828
0,0.395,1815,1657283829
0,0.398,1815,1657283830
0,0.392,1815,1657283831
0,0.000,9,1657284044
0,0.000,9,1657284045
0,0.000,9,1657284046
0,0.000,9,1657284047
0,0.000,9,1657284048
0,0.000,9,1657284049
0,0.000,9,1657284050
0,0.000,9,1657284051
0,0.000,9,1657284052
0,0.000,9,1657284053
0,0.000,9,1657284054
0,0.000,9,1657284055
0,0.000,9,1657284056
0,0.000,9,1657284057
0,0.000,9,1657284058
0,0.000,9,1657284059
0,0.000,9,1657284060
0,0.000,9,1657284061
0,0.000,9,1657284062
0,0.000,9,1657284063
0,0.002,231,1657284064
0,0.012,551,1657284065
0,0.007,889,1657284066
0,0.006,1215,1657284067
0,0.002,1427,1657284068
0,0.007,1779,1657284069
0,0.706,3575,1657284070
0,0.806,3575,1657284071
0,0.848,3575,1657284072
0,0.851,3575,1657284073
0,0.849,3575,1657284074
0,0.857,3575,1657284075
0,0.851,3575,1657284076
0,0.847,3575,1657284077
0,0.853,3575,1657284078
0,0.857,3575,1657284079
0,0.854,3575,1657284080
0,0.851,3575,1657284081
0,0.850,3575,1657284082
0,0.852,3575,1657284083
0,0.858,3575,1657284084
0,0.850,3575,1657284085
0,0.855,3575,1657284086
0,0.851,3575,1657284087
0,0.853,3575,1657284088
0,0.857,3575,1657284089
0,0.855,3575,1657284090
0,0.854,3575,1657284091
0,0.850,3575,1657284092
0,0.854,3575,1657284093
0,0.852,3575,1657284094
0,0.861,3575,1657284095
0,0.853,3575,1657284096
0,0.851,3575,1657284097
0,0.854,3575,1657284098
0,0.851,3575,1657284099
0,0.856,3575,1657284100
0,0.861,3575,1657284101
0,0.852,3575,1657284102
0,0.853,3575,1657284103
0,0.852,3575,1657284104
0,0.854,3575,1657284105
0,0.856,3575,1657284106
0,0.857,3575,1657284107
0,0.855,3575,1657284108
0,0.853,3575,1657284109
0,0.854,3575,1657284110
0,0.852,3575,1657284111
0,0.857,3575,1657284112
0,0.859,3575,1657284113
0,0.851,3575,1657284114
0,0.855,3575,1657284115
0,0.853,3575,1657284116
0,0.855,3575,1657284117
0,0.854,3575,1657284118
0,0.859,3575,1657284119
0,0.856,3575,1657284120
0,0.852,3575,1657284121
0,0.856,3575,1657284122
0,0.854,3575,1657284123
0,0.855,3575,1657284124
0,0.858,3575,1657284125
0,0.856,3575,1657284126
0,0.856,3575,1657284127
0,0.853,3575,1657284128
0,0.855,3575,1657284129
0,0.854,3575,1657284130
0,0.857,3575,1657284131
0,0.858,3575,1657284132
0,0.858,3575,1657284133
0,0.857,3575,1657284134
0,0.427,3575,1657284135
0,0.428,3575,1657284136
0,0.427,3575,1657284137
0,0.429,3575,1657284138
0,0.427,3575,1657284139
0,0.431,3575,1657284140
0,0.428,3575,1657284141
0,0.428,3575,1657284142
0,0.429,3575,1657284143
0,0.427,3575,1657284144
0,0.429,3575,1657284145
0,0.428,3575,1657284146
0,0.428,3575,1657284147
0,0.431,3575,1657284148
0,0.428,3575,1657284149
0,0.429,3575,1657284150
0,0.427,3575,1657284151
0,0.429,3575,1657284152
0,0.428,3575,1657284153
0,0.430,3575,1657284154
0,0.431,3575,1657284155
0,0.434,3575,1657284156
0,0.432,3575,1657284157
0,0.428,3575,1657284158
0,0.432,3575,1657284159
0,0.780,3575,1657284160
0,0.831,3575,1657284161
0,0.850,3575,1657284162
0,0.856,3575,1657284163
0,0.855,3575,1657284164
0,0.856,3575,1657284165
0,0.854,3575,1657284166
0,0.851,3575,1657284167
0,0.855,3575,1657284168
0,0.855,3575,1657284169
0,0.856,3575,1657284170
0,0.854,3575,1657284171
0,0.856,3575,1657284172
0,0.854,3575,1657284173
0,0.857,3575,1657284174
0,0.854,3575,1657284175
0,0.855,3575,1657284176
0,0.854,3575,1657284177
0,0.854,3575,1657284178
0,0.858,3575,1657284179
0,0.856,3575,1657284180
0,0.858,3575,1657284181
0,0.856,3575,1657284182
0,0.855,3575,1657284183
0,0.854,3575,1657284184
0,0.859,3575,1657284185
0,0.856,3575,1657284186
0,0.854,3575,1657284187
0,0.856,3575,1657284188
0,0.854,3575,1657284189
0,0.858,3575,1657284190
0,0.859,3575,1657284191
0,0.857,3575,1657284192
0,0.857,3575,1657284193
0,0.855,3575,1657284194
0,0.856,3575,1657284195
0,0.662,1823,1657284196
0,0.428,1823,1657284197
0,0.428,1823,1657284198
0,0.426,1823,1657284199
0,0.427,1823,1657284200
0,0.426,1823,1657284201
0,0.428,1823,1657284202
0,0.430,1823,1657284203
0,0.426,1823,1657284204
0,0.427,1823,1657284205
0,0.426,1823,1657284206
0,0.000,9,1657284434
0,0.000,9,1657284435
0,0.000,9,1657284436
0,0.000,9,1657284437
0,0.000,9,1657284438
0,0.000,9,1657284439
0,0.000,9,1657284440
0,0.000,9,1657284441
0,0.000,9,1657284442
0,0.000,9,1657284443
0,0.000,9,1657284444
0,0.000,9,1657284445
0,0.000,9,1657284446
0,0.000,9,1657284447
0,0.000,9,1657284448
0,0.000,9,1657284449
0,0.000,9,1657284450
0,0.000,9,1657284451
0,0.000,9,1657284452
0,0.000,9,1657284453
0,0.001,49,1657284454
0,0.009,527,1657284455
0,0.010,867,1657284456
0,0.007,1193,1657284457
0,0.003,1427,1657284458
0,0.006,1823,1657284459
0,0.692,5079,1657284460
0,0.849,5079,1657284461
0,0.847,5079,1657284462
0,0.860,5079,1657284463
0,0.840,5079,1657284464
0,0.853,5079,1657284465
