,model_name,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp,gract_mean,gract_std,fb_used_mean,fb_used_std
0,resnet50_moco,8,31.29,1.68,255.65,1657285572,1657285693,0.445,0.109,2914.852,78.623
1,resnet50_moco,16,34.14,0.46,468.72,1657285768,1657285889,0.589,0.132,3795.639,157.967
2,resnet50_moco,32,48.38,0.2,661.5,1657285973,1657286094,0.683,0.153,5314.0,0.0
3,resnet50_moco,64,88.63,0.02,722.12,1657286194,1657286315,0.675,0.152,8538.0,0.0
4,resnet50_moco,128,168.7,0.03,758.75,1657286485,1657286606,0.72,0.107,14928.0,0.0
