model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
paraphrase-multilingual-MiniLM-L12-v2,117653760,32,32,10.86,0.05,2946.62,1656769676,1656769796
paraphrase-multilingual-MiniLM-L12-v2,117653760,64,32,22.57,0.01,1418.11,1656769806,1656769926
paraphrase-multilingual-MiniLM-L12-v2,117653760,128,32,52.78,0.02,606.25,1656769936,1656770056
paraphrase-multilingual-MiniLM-L12-v2,117653760,256,32,129.31,0.03,247.47,1656770068,1656770188
paraphrase-multilingual-MiniLM-L12-v2,117653760,512,32,375.51,0.05,85.22,1656770204,1656770324
