model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
bert-base-multilingual-cased,177853440,32,32,11.03,0.11,2901.48,1656773474,1656773594
bert-base-multilingual-cased,177853440,64,32,10.77,0.08,2970.79,1656773604,1656773724
bert-base-multilingual-cased,177853440,128,32,14.6,0.07,2192.53,1656773734,1656773854
bert-base-multilingual-cased,177853440,256,32,32.46,0.01,985.91,1656773864,1656773984
bert-base-multilingual-cased,177853440,512,32,78.32,0.01,408.59,1656773995,1656774115
