model_name,total_params,seq_length,batch_size,latency,latency_std,throughput,start_timestamp,end_timestamp
bert-base-multilingual-cased,177853440,32,32,12.49,0.07,2562.82,1656775061,1656775181
bert-base-multilingual-cased,177853440,64,32,24.44,0.02,1309.4,1656775191,1656775311
bert-base-multilingual-cased,177853440,128,32,53.79,0.02,594.92,1656775321,1656775441
bert-base-multilingual-cased,177853440,256,32,117.78,0.02,271.69,1656775453,1656775573
bert-base-multilingual-cased,177853440,512,32,290.22,0.05,110.26,1656775587,1656775707
